"","FIPS","Geography.x","TotalPop","PovertyRate","BlackPop","BlackPovertyRate","AsianPop","AsianPoverty","HispanicPop","HispanicPoverty","WhitePop","WhitePovertyRate","PercentBachelor.s","State..FIPS.","Place..FIPS.","Area.Name","SqMiles","tot.protests","tot.attend","deaths","deaths_unarmed","deaths_unarmed_black","deaths_armed_black","deaths_black","deaths_protestyear","deaths_protestyear_unarmed","X.x","NAACPyears","MayorPartisanship","blackmayor","FIPS_PLACE","dem","rep","dem_share","FIPS_ST","X.y","pop","hbcu","hbcu2","crime","deathduring","per_ba","Per_Black","pop.density","collegeenrollpc","mayorrep","unarmed_deaths_pc","deaths_pc","unarmed_deaths_black_pc","deaths_black_pc","anyprotests"
"22228","4821628","Duncanville city, Texas",39086,12,12237,16.7,578,"6.7",14273,"11.5",11846,"7","26.08385794",48,21628,"Duncanville",11.234,0,0,2,1,1,0,1,0,0,NA,0,"I",0,21628,8238,6877,54.50215,48,NA,0,0,0,0,0,26.08385794,31.3078851762779,3479.25939113406,0,0,0.255846082996469,0.511692165992939,0.255846082996469,0.255846082996469,0
"22246","4822660","Edinburg city, Texas",77597,26.1,1055,4.8,2230,"17.7",68580,"27.5",5468,"16.7","28.16240812",48,22660,"Edinburg",37.439,0,0,0,0,0,0,0,1,0,1188,1,"R",0,22660,10337.91,4482.736,69.75343,48,1637,30000,0,0,0,0,28.16240812,1.35958864389087,2072.6248030129,38.6612884518731,1,0,0,0,0,0
"22273","4824000","El Paso city, Texas",661852,21.5,23040,15.6,7970,"12.2",529017,"24.4",97203,"8.7","22.90729408",48,24000,"El Paso",253.519,1,90,4,1,0,0,0,5,0,NA,0,"D",0,24000,105472.9,56068.46,65.29157,48,1638,60000,0,0,0,0,22.90729408,3.48114079884929,2610.660344984,9.06547083033669,0,0.0151091180505612,0.0604364722022446,0,0,1
"22292","4824768","Euless city, Texas",52388,13.5,5766,17.3,6107,"14.6",10405,"18.3",28102,"10.6","32.0136963",48,24768,"Euless",16.215,0,0,0,0,0,0,0,0,0,NA,0,"R",0,24768,7580.129,9889.459,43.39043,48,NA,0,0,0,0,0,32.0136963,11.0063373291593,3230.83564600678,0,1,0,0,0,0,0
"22315","4825452","Farmers Branch city, Texas",30128,13.4,1138,17.1,1603,"5.9",12322,"20.1",14576,"8.7","33.3032491",48,25452,"Farmers Branch",11.802,0,0,0,0,0,0,0,0,0,NA,0,"R",0,25452,3982,5642,41.37573,48,1640,15000,0,0,0,0,33.3032491,3.77721720658524,2552.78766310795,49.7875730217738,1,0,0,0,0,0
"22329","4826232","Flower Mound town, Texas",67353,3.1,2519,8.3,6254,"5.9",5775,"10.3",51370,"1.7","57.6805673",48,26232,"Flower Mound",41.418,0,0,0,0,0,0,0,0,0,NA,0,"R",0,26232,9213.367,21584.7,29.91541,48,NA,0,0,0,0,0,57.6805673,3.73999673362731,1626.17702448211,0,1,0,0,0,0,0
"22342","4827000","Fort Worth city, Texas",763072,19.3,143976,29.2,28606,"20.1",262817,"26.4",311086,"8.8","26.9459283",48,27000,"Fort Worth",339.113,0,0,8,0,0,1,1,7,0,1191,13,"R",0,27000,117624.1,103929.4,53.0906,48,1643,30000,0,0,0,0,26.9459283,18.8679443093181,2250.19978591207,3.93147697727082,1,0,0.104839386060555,0,0.0131049232575694,0
"22353","4827648","Friendswood city, Texas",36660,5.2,1081,5.3,1790,"8.5",5446,"8.3",27783,"4.5","48.47213654",48,27648,"Friendswood",20.711,0,0,0,0,0,0,0,0,0,NA,0,"R",0,27648,3974.254,12698.35,23.83704,48,NA,0,0,0,0,0,48.47213654,2.94871794871795,1770.07387378688,0,1,0,0,0,0,0
"22355","4827684","Frisco city, Texas",130115,4.2,9825,5,15271,"1.5",17073,"11.7",83408,"3","58.50629657",48,27684,"Frisco",61.963,0,0,0,0,0,0,0,0,0,NA,0,"R",0,27684,14790.98,27266.62,35.16839,48,NA,0,0,0,0,0,58.50629657,7.55101256580717,2099.88218775721,0,1,0,0,0,0,0
"22367","4828068","Galveston city, Texas",45084,23.7,8690,39.3,2051,"22.2",13856,"24.6",20080,"17.1","28.639205",48,28068,"Galveston",41.221,1,0,0,0,0,0,0,0,0,NA,0,"D",0,28068,9335,6165,60.22581,48,NA,0,0,0,0,0,28.639205,19.2751308668264,1093.71436888964,0,0,0,0,0,0,1
